TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Female,Tertiary,2 years,Urban,No,Yes,1223,16.5,Fail
Private,Male,Tertiary,2 years,Rural,No,No,7297,16.7,Pass
Private,Female,Secondary,1 year,Rural,No,No,1350,17.0,Pass
Private,Female,Secondary,1 year,Urban,Yes,No,8314,16.7,Pass
Public,Female,Tertiary,None,Urban,Yes,No,2928,14.4,Fail
Private,Male,Tertiary,2 years,Urban,Yes,Yes,8743,15.4,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,9540,12.8,Pass
Private,Male,Primary,None,Urban,No,Yes,5732,14.5,Fail
Private,Male,Secondary,2 years,Urban,No,No,2017,14.4,Fail
Private,Male,Primary,None,Suburban,No,No,3226,12.9,Pass
Private,Male,Secondary,None,Suburban,Yes,No,8206,17.9,Fail
Public,Female,Primary,2 years,Rural,No,No,8170,14.1,Fail
Private,Male,Secondary,1 year,Suburban,No,Yes,7207,15.5,Pass
Public,Male,Tertiary,2 years,Urban,No,Yes,3419,11.6,Pass
Private,Male,Tertiary,2 years,Suburban,No,No,7240,14.7,Pass
Private,Male,Secondary,2 years,Rural,No,Yes,2893,17.6,Pass
Private,Female,Tertiary,1 year,Urban,Yes,Yes,6322,14.4,Fail
Public,Female,Tertiary,2 years,Rural,No,Yes,8718,15.6,Pass
Private,Male,Primary,1 year,Rural,No,Yes,7878,17.0,Fail
Public,Female,Secondary,None,Rural,No,Yes,2125,13.9,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,No,4117,13.5,Fail
Private,Female,Secondary,None,Suburban,No,No,5161,10.9,Pass
Public,Male,Primary,None,Rural,Yes,Yes,5042,15.8,Fail
Private,Male,Secondary,2 years,Rural,Yes,Yes,5433,17.1,Pass
Public,Male,Primary,1 year,Rural,No,Yes,9638,15.8,Pass
Public,Male,Primary,None,Rural,No,Yes,3658,12.8,Fail
Public,Female,Primary,None,Suburban,No,No,4483,12.6,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,3944,11.6,Fail
Private,Female,Primary,1 year,Rural,Yes,Yes,8210,10.5,Pass
Public,Female,Secondary,None,Suburban,Yes,Yes,8653,14.3,Pass
Private,Female,Secondary,None,Urban,Yes,No,9787,11.6,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,2986,16.9,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,2074,19.6,Pass
Private,Female,Primary,None,Suburban,No,Yes,5305,10.7,Fail
Public,Female,Primary,2 years,Urban,Yes,Yes,4007,18.9,Fail
Public,Male,Primary,1 year,Urban,Yes,Yes,1969,16.6,Pass
Private,Female,Tertiary,None,Suburban,Yes,Yes,9772,18.6,Pass
Public,Male,Tertiary,None,Urban,Yes,No,3824,11.5,Fail
Public,Female,Secondary,2 years,Urban,No,No,2211,19.1,Pass
Public,Female,Primary,1 year,Suburban,Yes,Yes,1229,19.6,Pass
Public,Male,Primary,None,Suburban,Yes,No,5284,19.1,Pass
Public,Male,Secondary,2 years,Suburban,Yes,Yes,4185,17.9,Pass
Public,Female,Secondary,1 year,Rural,Yes,No,1501,10.9,Fail
Public,Male,Secondary,2 years,Rural,No,Yes,1048,12.2,Fail
Public,Female,Secondary,None,Urban,Yes,Yes,4566,19.1,Fail
Public,Female,Primary,2 years,Urban,Yes,No,4055,12.3,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,9880,13.5,Pass
Public,Male,Primary,None,Urban,Yes,Yes,1386,10.5,Pass
Public,Male,Secondary,2 years,Suburban,Yes,Yes,1969,16.3,Pass
Public,Female,Tertiary,2 years,Rural,No,Yes,6820,15.6,Pass
Public,Female,Primary,None,Suburban,Yes,No,4052,19.6,Fail
Public,Female,Secondary,2 years,Urban,Yes,No,8397,18.9,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,3302,15.1,Fail
Private,Male,Tertiary,1 year,Suburban,Yes,Yes,3283,16.1,Fail
Public,Male,Tertiary,2 years,Suburban,No,No,5366,14.1,Pass
Private,Female,Primary,2 years,Urban,No,No,1122,11.3,Pass
Public,Male,Secondary,1 year,Suburban,No,Yes,7799,18.7,Pass
Public,Male,Primary,None,Suburban,Yes,No,4727,15.5,Pass
Private,Female,Primary,None,Urban,No,No,9450,14.3,Pass
Private,Male,Primary,1 year,Rural,Yes,Yes,5958,10.7,Pass
Private,Male,Tertiary,None,Rural,No,No,1524,16.7,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,9399,14.0,Pass
Private,Female,Primary,2 years,Rural,No,No,1148,12.5,Fail
Public,Female,Secondary,1 year,Suburban,No,Yes,9001,18.8,Fail
Public,Female,Tertiary,1 year,Urban,Yes,Yes,1437,11.8,Fail
Public,Female,Primary,1 year,Suburban,No,Yes,4749,15.2,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,9186,18.0,Fail
Public,Male,Tertiary,None,Urban,Yes,No,5453,18.5,Pass
Private,Male,Primary,None,Suburban,No,Yes,6336,18.2,Pass
Public,Female,Primary,None,Urban,No,Yes,5551,19.0,Pass
Private,Female,Secondary,2 years,Suburban,No,Yes,3823,11.4,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,6728,19.4,Fail
Public,Female,Primary,1 year,Suburban,Yes,Yes,9677,10.1,Fail
Public,Female,Primary,1 year,Suburban,No,Yes,9391,12.6,Pass
Public,Male,Tertiary,None,Urban,No,No,2982,10.8,Pass
Public,Male,Tertiary,None,Rural,Yes,No,7996,19.5,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,3311,14.2,Pass
Public,Female,Secondary,1 year,Suburban,No,No,8225,13.2,Pass
Private,Male,Secondary,None,Rural,Yes,Yes,1604,11.7,Pass
Public,Female,Primary,1 year,Rural,No,Yes,9175,11.6,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,6785,16.1,Pass
Public,Male,Primary,2 years,Rural,Yes,Yes,5597,10.5,Pass
Public,Female,Secondary,2 years,Rural,No,No,8759,15.9,Pass
Public,Male,Primary,1 year,Suburban,No,Yes,8532,17.7,Fail
Private,Male,Primary,None,Rural,No,Yes,9740,16.0,Fail
Public,Male,Tertiary,1 year,Rural,Yes,No,1838,18.3,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,4815,12.7,Pass
Public,Female,Secondary,1 year,Urban,No,No,1847,10.8,Pass
Private,Female,Primary,1 year,Suburban,Yes,Yes,5709,17.2,Pass
Public,Male,Secondary,2 years,Urban,Yes,Yes,5507,18.3,Pass
Public,Male,Secondary,2 years,Rural,No,No,7575,15.0,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,5773,18.2,Pass
Private,Male,Secondary,2 years,Suburban,No,No,5468,14.6,Pass
Private,Male,Tertiary,2 years,Urban,Yes,No,6192,12.0,Fail
Public,Female,Tertiary,None,Urban,Yes,No,4320,14.7,Fail
Public,Male,Tertiary,2 years,Urban,Yes,No,5698,12.2,Pass
Public,Male,Tertiary,2 years,Rural,Yes,No,5311,14.7,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,4673,11.5,Fail
Public,Male,Secondary,2 years,Urban,Yes,No,2564,11.9,Fail
Private,Male,Primary,2 years,Rural,No,No,2840,18.8,Fail
Public,Male,Primary,2 years,Suburban,Yes,No,7058,11.2,Fail
Private,Female,Tertiary,1 year,Suburban,No,No,8131,12.2,Pass
Private,Female,Secondary,1 year,Suburban,No,Yes,1726,20.0,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,No,7697,15.8,Pass
Public,Female,Primary,1 year,Rural,No,No,1282,15.9,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,2081,18.4,Pass
Public,Female,Secondary,None,Urban,No,No,4885,15.2,Pass
Private,Male,Secondary,2 years,Suburban,No,No,3881,12.2,Fail
Public,Female,Primary,None,Suburban,No,No,3970,14.2,Pass
Private,Male,Primary,2 years,Rural,No,No,7985,17.6,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,1947,18.7,Fail
Public,Female,Tertiary,None,Urban,No,Yes,5760,12.7,Pass
Public,Male,Primary,None,Rural,No,No,1066,12.6,Pass
Private,Female,Tertiary,2 years,Rural,No,No,9828,13.3,Pass
Private,Male,Primary,None,Urban,Yes,No,9505,16.0,Fail
Public,Female,Secondary,None,Urban,Yes,No,1564,12.8,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,4670,18.9,Fail
Private,Female,Primary,2 years,Rural,No,No,3251,19.8,Pass
Public,Female,Primary,1 year,Urban,Yes,No,1804,16.8,Fail
Public,Male,Primary,2 years,Urban,Yes,Yes,5631,19.7,Fail
Public,Male,Tertiary,1 year,Rural,Yes,Yes,2235,12.9,Fail
Private,Female,Tertiary,2 years,Rural,No,Yes,7720,18.2,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,7906,16.8,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,7016,12.6,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,4549,13.2,Fail
Private,Male,Tertiary,None,Urban,No,No,8938,14.9,Pass
Public,Male,Secondary,2 years,Suburban,Yes,No,5141,17.9,Pass
Public,Female,Secondary,None,Suburban,No,Yes,7966,18.7,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,6335,16.3,Fail
Public,Male,Tertiary,2 years,Rural,No,No,6077,17.2,Pass
Private,Female,Primary,1 year,Urban,Yes,No,6611,12.6,Pass
Public,Female,Tertiary,1 year,Suburban,No,Yes,9089,17.4,Pass
Public,Female,Secondary,None,Rural,No,No,3892,16.0,Fail
Public,Male,Tertiary,2 years,Urban,No,No,6577,12.2,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,4618,19.5,Pass
Public,Male,Primary,None,Urban,Yes,No,2559,15.1,Fail
Private,Male,Primary,None,Suburban,Yes,No,7683,17.9,Fail
Public,Male,Tertiary,None,Urban,No,Yes,2507,15.3,Pass
Public,Male,Secondary,None,Suburban,No,No,3063,19.3,Fail
Public,Female,Tertiary,1 year,Urban,Yes,No,4642,11.4,Fail
Private,Male,Tertiary,1 year,Urban,No,No,3000,15.5,Fail
Private,Male,Tertiary,1 year,Rural,Yes,Yes,2294,10.3,Fail
Private,Male,Secondary,2 years,Suburban,Yes,No,5065,12.0,Pass
Private,Female,Secondary,2 years,Suburban,Yes,No,9014,12.8,Fail
Private,Male,Secondary,None,Rural,No,Yes,2603,14.7,Pass
Public,Female,Secondary,1 year,Rural,Yes,No,2322,18.2,Pass
Public,Male,Secondary,None,Urban,Yes,No,6956,14.7,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,No,3441,15.6,Pass
Private,Female,Secondary,2 years,Urban,Yes,Yes,2098,19.2,Fail
Private,Female,Tertiary,None,Urban,Yes,Yes,6073,17.6,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,9488,10.5,Fail
Public,Female,Tertiary,1 year,Rural,No,No,4787,11.8,Fail
Private,Male,Primary,1 year,Suburban,Yes,No,3096,10.4,Pass
Private,Female,Secondary,None,Rural,Yes,Yes,3208,10.7,Fail
Private,Male,Secondary,2 years,Rural,Yes,Yes,6988,13.4,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,No,1175,17.3,Pass
Public,Female,Primary,None,Suburban,No,Yes,8169,12.4,Fail
Public,Male,Secondary,1 year,Rural,No,Yes,7014,13.9,Fail
Private,Female,Tertiary,None,Rural,Yes,No,2667,13.9,Fail
Public,Male,Primary,2 years,Rural,No,Yes,9867,15.9,Pass
Public,Female,Tertiary,1 year,Suburban,No,No,2823,18.9,Pass
Private,Female,Primary,None,Suburban,Yes,No,6147,19.8,Fail
Private,Male,Tertiary,1 year,Urban,Yes,Yes,2356,16.0,Fail
Public,Male,Secondary,None,Suburban,Yes,Yes,4072,15.1,Fail
Public,Male,Tertiary,2 years,Rural,Yes,No,4259,16.8,Pass
Public,Female,Tertiary,2 years,Suburban,Yes,Yes,7199,16.7,Pass
Public,Male,Primary,None,Suburban,No,Yes,1546,15.2,Fail
Public,Male,Primary,2 years,Suburban,No,Yes,6231,17.4,Pass
Private,Female,Secondary,1 year,Rural,No,Yes,8965,14.9,Pass
Public,Male,Tertiary,2 years,Urban,No,Yes,3083,20.0,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,3040,10.5,Fail
Public,Female,Secondary,2 years,Rural,No,No,5534,14.4,Pass
Public,Female,Secondary,2 years,Rural,Yes,No,2752,14.0,Pass
Public,Female,Primary,1 year,Urban,No,No,2849,17.7,Fail
Public,Female,Primary,2 years,Rural,Yes,Yes,3642,11.9,Fail
Public,Female,Tertiary,1 year,Suburban,No,Yes,2600,14.3,Fail
Public,Male,Secondary,1 year,Suburban,No,No,5402,17.0,Fail
Private,Female,Primary,2 years,Urban,No,Yes,4799,16.0,Fail
Private,Female,Secondary,2 years,Suburban,Yes,No,1618,15.5,Pass
Public,Female,Tertiary,1 year,Urban,Yes,No,2132,14.3,Pass
Private,Male,Primary,None,Rural,No,Yes,6491,17.5,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,6795,16.5,Fail
Private,Male,Primary,2 years,Urban,No,Yes,8633,18.7,Pass
Private,Male,Tertiary,None,Suburban,No,Yes,2487,17.3,Fail
Private,Female,Tertiary,None,Urban,Yes,Yes,8848,11.4,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,6009,16.2,Pass
Public,Female,Tertiary,2 years,Urban,No,Yes,3113,10.4,Fail
Public,Male,Primary,2 years,Rural,No,Yes,2044,13.9,Pass
Private,Female,Primary,None,Suburban,No,Yes,3431,14.1,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,8979,18.5,Pass
Private,Male,Secondary,None,Urban,No,No,2582,11.8,Pass
Public,Male,Primary,None,Urban,No,Yes,2308,16.4,Pass
Public,Female,Primary,1 year,Rural,No,No,5917,11.9,Pass
Public,Female,Secondary,None,Suburban,Yes,No,9793,19.5,Pass
Private,Female,Primary,1 year,Suburban,Yes,No,2620,15.3,Pass
Public,Female,Tertiary,None,Urban,Yes,Yes,8503,17.1,Pass
Public,Male,Tertiary,None,Rural,Yes,No,5766,16.5,Pass
Private,Female,Tertiary,1 year,Rural,Yes,No,6362,13.0,Fail
Private,Male,Secondary,1 year,Urban,Yes,Yes,6192,19.0,Fail
Public,Male,Primary,1 year,Urban,Yes,Yes,7622,16.3,Pass
Private,Male,Secondary,1 year,Urban,No,Yes,7093,15.1,Fail
Public,Male,Secondary,1 year,Urban,No,Yes,7704,15.3,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,1100,18.9,Pass
Private,Male,Secondary,1 year,Rural,No,Yes,7657,10.6,Pass
Private,Male,Tertiary,None,Rural,Yes,No,6875,13.9,Fail
Public,Female,Primary,None,Urban,Yes,No,5271,18.4,Fail
Private,Female,Tertiary,1 year,Urban,Yes,No,1237,10.4,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,8226,16.4,Pass
Private,Female,Primary,1 year,Rural,No,No,9032,14.0,Pass
Private,Female,Tertiary,2 years,Rural,Yes,Yes,6218,12.0,Fail
Private,Female,Tertiary,None,Urban,Yes,Yes,5025,16.1,Fail
Private,Female,Tertiary,None,Rural,Yes,Yes,7073,18.3,Pass
Private,Male,Primary,2 years,Rural,No,No,3542,14.7,Pass
Public,Female,Primary,None,Rural,No,No,2537,11.5,Pass
Public,Male,Primary,1 year,Suburban,Yes,Yes,1754,13.1,Fail
Public,Male,Secondary,2 years,Rural,No,No,8396,19.8,Fail
Private,Female,Tertiary,2 years,Urban,Yes,No,8823,11.1,Fail
Public,Female,Secondary,None,Rural,No,No,6507,11.6,Fail
Public,Male,Secondary,2 years,Rural,Yes,No,5235,19.9,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,Yes,1540,18.8,Pass
Private,Female,Primary,2 years,Rural,Yes,Yes,6510,17.1,Pass
Private,Female,Secondary,None,Suburban,No,No,9461,11.5,Pass
Public,Male,Primary,2 years,Suburban,No,No,8926,12.4,Fail
Public,Female,Primary,2 years,Suburban,Yes,Yes,6131,11.8,Fail
Private,Male,Tertiary,1 year,Rural,No,Yes,9697,16.3,Fail
Public,Male,Secondary,1 year,Urban,No,No,2129,14.0,Fail
Public,Male,Secondary,2 years,Urban,Yes,Yes,4145,10.5,Fail
Private,Male,Primary,None,Rural,Yes,No,9553,12.9,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,4720,18.6,Fail
Private,Male,Secondary,None,Urban,Yes,Yes,5067,18.0,Fail
Public,Male,Primary,1 year,Rural,No,Yes,5195,16.4,Pass
Private,Female,Primary,1 year,Urban,Yes,No,8281,10.9,Fail
Public,Female,Primary,2 years,Rural,Yes,No,3509,18.8,Fail
Public,Male,Tertiary,None,Suburban,Yes,Yes,6016,15.3,Pass
Private,Female,Tertiary,None,Urban,Yes,No,7533,14.9,Pass
Private,Female,Primary,None,Rural,Yes,No,5727,19.3,Fail
Private,Male,Primary,2 years,Rural,Yes,No,1681,10.1,Pass
Private,Female,Tertiary,None,Urban,Yes,No,4932,15.6,Pass
Public,Female,Primary,1 year,Rural,Yes,No,6560,17.9,Pass
Private,Female,Primary,None,Urban,No,Yes,5016,10.6,Pass
Private,Female,Tertiary,None,Rural,No,No,8339,13.6,Fail
Private,Female,Primary,2 years,Urban,No,No,1719,19.8,Pass
Private,Male,Primary,2 years,Suburban,No,No,1074,12.1,Pass
Private,Female,Primary,2 years,Urban,No,Yes,5157,15.3,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,9511,17.5,Pass
Private,Male,Tertiary,2 years,Suburban,No,Yes,3149,13.9,Pass
Private,Female,Tertiary,None,Suburban,No,Yes,7713,14.1,Fail
Private,Female,Secondary,None,Urban,No,Yes,5207,10.6,Fail
Public,Female,Secondary,2 years,Urban,Yes,Yes,8141,11.9,Pass
Public,Female,Secondary,2 years,Urban,No,No,9652,18.8,Pass
Public,Female,Secondary,None,Suburban,No,No,4936,18.2,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,No,2075,13.0,Fail
Private,Female,Primary,1 year,Urban,No,Yes,4876,13.8,Pass
Public,Female,Tertiary,None,Rural,Yes,Yes,5615,14.4,Pass
Public,Female,Secondary,1 year,Suburban,Yes,Yes,8265,13.5,Pass
Private,Female,Tertiary,None,Urban,No,Yes,7379,16.5,Fail
Private,Female,Primary,None,Rural,No,Yes,5652,10.1,Pass
Private,Female,Secondary,None,Urban,Yes,Yes,7792,18.8,Pass
Public,Male,Primary,None,Suburban,No,No,8456,13.0,Fail
Private,Female,Primary,None,Suburban,No,Yes,5674,18.7,Fail
Private,Male,Primary,None,Urban,No,No,1541,14.5,Pass
Public,Male,Secondary,None,Rural,No,Yes,3161,17.8,Fail
Public,Female,Tertiary,2 years,Suburban,Yes,Yes,3251,18.3,Pass
Public,Male,Secondary,2 years,Urban,Yes,Yes,5569,13.0,Pass
Private,Female,Secondary,2 years,Urban,No,No,3744,16.4,Pass
Public,Female,Tertiary,1 year,Rural,No,No,7041,16.1,Pass
Public,Male,Tertiary,None,Rural,No,No,5675,14.8,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,No,2560,14.7,Pass
Private,Male,Tertiary,2 years,Rural,No,Yes,2164,13.1,Fail
Public,Male,Primary,2 years,Rural,No,No,6419,13.1,Pass
Private,Female,Secondary,None,Suburban,Yes,No,3722,15.5,Fail
Public,Male,Secondary,None,Urban,Yes,Yes,1470,10.3,Fail
Private,Male,Secondary,1 year,Suburban,No,Yes,2468,19.3,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,8925,16.5,Pass
Public,Male,Secondary,None,Rural,No,No,1808,14.4,Pass
Public,Female,Primary,1 year,Rural,Yes,No,9363,10.6,Pass
Public,Female,Secondary,2 years,Urban,Yes,No,7719,16.3,Fail
Private,Female,Secondary,1 year,Rural,Yes,Yes,6073,10.2,Pass
Public,Female,Primary,2 years,Urban,Yes,Yes,9012,16.8,Pass
Private,Male,Primary,1 year,Urban,Yes,Yes,2645,10.7,Fail
Private,Female,Secondary,2 years,Urban,Yes,Yes,9249,16.6,Pass
Public,Male,Tertiary,1 year,Suburban,No,No,2129,14.1,Pass
Private,Male,Tertiary,1 year,Rural,No,Yes,2353,16.6,Pass
Private,Female,Secondary,None,Rural,Yes,Yes,1767,11.4,Fail
Public,Female,Secondary,None,Urban,Yes,Yes,4895,11.2,Pass
Private,Female,Secondary,2 years,Rural,No,Yes,9874,12.5,Fail
Private,Male,Secondary,None,Urban,No,No,4454,14.1,Pass
Public,Female,Tertiary,2 years,Rural,Yes,Yes,8329,12.5,Pass
Public,Male,Secondary,None,Suburban,Yes,Yes,2790,10.8,Fail
Private,Female,Primary,None,Rural,No,No,1885,13.3,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,8734,17.1,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,4906,15.8,Pass
Private,Male,Primary,2 years,Rural,Yes,Yes,5492,19.6,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,3073,14.4,Fail
Private,Female,Secondary,2 years,Urban,Yes,No,1312,13.3,Pass
Private,Female,Secondary,None,Urban,Yes,Yes,7269,16.9,Pass
Private,Male,Secondary,None,Rural,No,No,6317,14.1,Fail
Private,Female,Secondary,None,Urban,No,Yes,1810,16.2,Pass
Public,Female,Primary,2 years,Rural,No,No,7841,19.5,Fail
Private,Male,Secondary,1 year,Urban,No,No,3032,15.0,Pass
Public,Female,Primary,1 year,Urban,No,No,8129,15.0,Fail
Public,Male,Primary,2 years,Urban,No,No,3705,17.8,Pass
Public,Male,Primary,2 years,Rural,Yes,Yes,9788,17.6,Fail
Public,Female,Secondary,1 year,Rural,Yes,No,3147,15.2,Pass
Public,Female,Secondary,None,Rural,No,Yes,1615,10.6,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,1947,19.8,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,6677,13.8,Fail
Public,Female,Primary,1 year,Suburban,No,Yes,5651,13.2,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,8866,19.8,Pass
Private,Male,Primary,None,Urban,No,No,3013,18.7,Fail
Public,Female,Tertiary,1 year,Urban,Yes,Yes,4697,13.3,Pass
Private,Male,Secondary,1 year,Rural,No,No,1490,13.1,Pass
Public,Male,Secondary,1 year,Rural,No,No,5350,17.2,Pass
Public,Male,Primary,2 years,Urban,No,Yes,3428,13.3,Fail
Private,Male,Primary,2 years,Rural,Yes,Yes,5987,12.5,Fail
Private,Male,Secondary,2 years,Rural,Yes,Yes,9733,19.8,Fail
Private,Male,Secondary,1 year,Suburban,Yes,No,5920,15.7,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,3926,17.6,Fail
Private,Female,Tertiary,None,Rural,No,No,8282,17.1,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,5376,17.6,Pass
Private,Female,Tertiary,None,Suburban,Yes,No,5868,19.0,Pass
Private,Male,Tertiary,1 year,Rural,Yes,No,7986,15.0,Fail
Private,Female,Primary,None,Urban,Yes,No,7862,17.5,Pass
Public,Male,Primary,2 years,Urban,No,Yes,5423,18.0,Fail
Private,Female,Tertiary,1 year,Urban,Yes,Yes,7870,19.5,Pass
Public,Male,Primary,None,Urban,No,No,9159,17.1,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,3073,18.9,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,No,7170,11.0,Fail
Public,Female,Secondary,1 year,Rural,Yes,No,1701,11.3,Fail
Public,Female,Tertiary,None,Rural,Yes,No,9113,11.6,Pass
Public,Female,Primary,None,Urban,Yes,No,7825,11.4,Fail
Public,Female,Tertiary,None,Urban,Yes,No,8867,10.9,Fail
Private,Female,Secondary,2 years,Rural,Yes,No,5264,11.2,Pass
Public,Male,Primary,None,Rural,Yes,No,8968,20.0,Fail
Private,Female,Secondary,2 years,Urban,Yes,No,9146,12.7,Fail
Private,Male,Tertiary,None,Suburban,No,Yes,8776,14.8,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,9558,18.2,Fail
Public,Female,Tertiary,1 year,Suburban,Yes,Yes,9719,11.2,Pass
Public,Female,Tertiary,2 years,Suburban,Yes,No,5886,13.2,Pass
Public,Male,Primary,None,Suburban,No,Yes,4935,11.6,Fail
Private,Female,Tertiary,2 years,Rural,No,No,5619,10.6,Pass
Public,Female,Secondary,None,Rural,Yes,No,6191,19.6,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,7875,18.6,Pass
Private,Male,Primary,2 years,Rural,No,No,8856,18.8,Fail
Public,Male,Primary,1 year,Rural,No,Yes,6401,18.7,Pass
Private,Male,Secondary,2 years,Rural,Yes,Yes,4022,11.5,Pass
Public,Female,Secondary,2 years,Rural,No,Yes,6738,17.8,Fail
Public,Male,Secondary,1 year,Urban,Yes,No,6984,17.3,Pass
Public,Male,Secondary,1 year,Rural,No,Yes,2770,19.3,Pass
Public,Female,Tertiary,2 years,Rural,Yes,No,9989,12.2,Fail
Public,Male,Tertiary,2 years,Urban,Yes,No,4215,14.1,Pass
Private,Male,Secondary,2 years,Rural,Yes,No,7694,12.9,Fail
Public,Male,Secondary,1 year,Urban,Yes,No,3976,12.6,Pass
Public,Female,Tertiary,None,Suburban,Yes,No,4737,16.5,Fail
Public,Male,Tertiary,1 year,Suburban,No,No,1752,11.6,Pass
Public,Male,Secondary,2 years,Rural,Yes,Yes,2392,14.6,Fail
Public,Male,Primary,2 years,Rural,No,Yes,7789,16.5,Fail
Public,Female,Primary,1 year,Rural,No,No,1677,11.3,Fail
Public,Female,Secondary,2 years,Rural,No,Yes,1105,12.6,Pass
Private,Male,Primary,2 years,Suburban,No,No,5753,19.7,Fail
Private,Female,Tertiary,2 years,Suburban,Yes,Yes,2946,18.0,Fail
Public,Male,Primary,2 years,Rural,No,Yes,6544,16.8,Pass
Private,Female,Secondary,2 years,Urban,No,Yes,2095,18.6,Pass
Public,Female,Primary,None,Urban,No,Yes,7985,10.1,Fail
Private,Male,Primary,1 year,Suburban,Yes,No,2782,10.1,Pass
Public,Male,Primary,1 year,Urban,Yes,Yes,5541,11.5,Fail
Public,Male,Tertiary,1 year,Rural,No,Yes,4257,15.0,Fail
Private,Female,Tertiary,None,Rural,No,No,7213,15.7,Fail
Public,Male,Tertiary,None,Rural,Yes,No,5869,11.1,Fail
Private,Female,Secondary,1 year,Rural,No,Yes,2561,10.7,Fail
Public,Female,Primary,1 year,Rural,Yes,Yes,5006,18.3,Pass
Public,Male,Tertiary,1 year,Urban,No,No,4981,14.6,Fail
Public,Female,Tertiary,2 years,Urban,No,Yes,6682,19.9,Pass
Public,Female,Primary,None,Suburban,Yes,Yes,6782,12.3,Fail
Private,Male,Secondary,None,Suburban,Yes,No,1943,16.5,Fail
Public,Female,Primary,2 years,Urban,No,Yes,5550,18.0,Fail
Private,Female,Secondary,None,Urban,Yes,No,1600,18.7,Fail
Private,Male,Primary,1 year,Suburban,No,No,7376,13.1,Pass
Public,Male,Tertiary,None,Rural,Yes,Yes,2524,11.9,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,No,4766,12.3,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,1250,16.7,Pass
Private,Female,Secondary,None,Urban,No,Yes,1078,15.2,Pass
Public,Female,Primary,1 year,Suburban,No,Yes,4123,16.0,Fail
